anio_insc;prov_insc;cau_div;dur_mat;edad_hom;p_etnica_hom;niv_insth;area_resh;edad_muj;p_etnica_muj;niv_instm;area_resm
1;Loja;MUTUO ACUERDO;21;46;6;3;1;3;6;8;11
1;Loja;ABANDONO;17;48;6;4;1;4;6;0;11
1;Loja;MUTUO ACUERDO;8;38;6;8;1;8;6;1;11
1;Loja;MUTUO ACUERDO;2;45;6;4;1;4;6;10;11
1;Loja;MUTUO ACUERDO;5;33;6;3;1;3;6;1;11
1;Loja;MUTUO ACUERDO;25;45;6;4;1;4;6;10;11
1;Loja;ABANDONO;5;47;6;10;1;10;6;3;11
1;Manabí;ABANDONO;17;46;6;2;1;2;6;3;11
1;Manabí;MUTUO ACUERDO;14;40;6;3;1;3;6;2;11
1;Manabí;ABANDONO;8;52;6;3;1;3;6;10;11
1;Manabí;MUTUO ACUERDO;21;45;6;4;1;4;6;2;11
1;Manabí;MUTUO ACUERDO;28;47;6;1;1;1;6;1;11
1;Manabí;MUTUO ACUERDO;14;39;6;1;0;1;6;1;10
1;Manabí;MUTUO ACUERDO;15;52;6;2;1;2;6;1;11
1;Manabí;MUTUO ACUERDO;19;40;6;1;1;1;6;10;11
1;Manabí;MUTUO ACUERDO;16;47;6;1;1;1;6;1;11
1;Manabí;ABANDONO;26;51;6;2;1;2;6;4;11
1;Manabí;MUTUO ACUERDO;38;62;6;4;1;4;6;2;10
1;Manabí;MUTUO ACUERDO;0;50;6;1;1;1;6;1;11
1;Manabí;ABANDONO;19;38;6;1;1;1;6;2;10
1;Manabí;MUTUO ACUERDO;26;52;6;3;1;3;6;1;11
1;Manabí;MUTUO ACUERDO;17;40;6;1;0;1;6;1;10
1;Manabí;MUTUO ACUERDO;4;27;6;1;1;1;6;1;11
1;Manabí;MUTUO ACUERDO;38;66;6;2;1;2;6;4;11
1;Manabí;ABANDONO;5;41;6;1;1;1;6;1;11
1;Manabí;MUTUO ACUERDO;6;33;6;10;1;10;6;1;10
1;Manabí;MUTUO ACUERDO;9;30;6;10;1;10;6;10;11
1;Manabí;MUTUO ACUERDO;18;43;6;1;0;1;6;1;11
1;Manabí;MUTUO ACUERDO;35;57;6;10;1;10;6;1;11
1;Manabí;MUTUO ACUERDO;22;43;6;1;1;1;6;1;11
1;Manabí;MUTUO ACUERDO;19;48;6;1;0;1;6;10;11
1;Manabí;MUTUO ACUERDO;9;30;6;1;1;1;6;10;11
1;Manabí;ABANDONO;12;34;6;1;1;1;6;1;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;6;32;6;4;1;4;6;2;10
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;12;39;6;1;1;1;6;1;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;24;50;6;1;0;1;6;1;10
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;12;32;9;10;1;10;6;4;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;36;61;6;4;1;4;6;4;11
1;Manabí;MUTUO ACUERDO;16;39;6;1;1;1;6;10;11
1;Santo Domingo de los Tsáchilas;ABANDONO;21;44;6;3;1;3;6;1;11
1;Manabí;MUTUO ACUERDO;9;30;6;1;1;1;6;2;11
1;Manabí;MUTUO ACUERDO;24;49;5;4;1;4;5;2;11
1;Santo Domingo de los Tsáchilas;FALTA DE ARMONIA;19;42;6;2;1;2;6;2;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;10;32;6;3;1;3;6;10;11
1;Santo Domingo de los Tsáchilas; DESCONOCIDO;19;53;6;1;1;1;6;3;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;17;38;6;2;0;2;6;2;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;13;38;6;1;1;1;6;2;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;26;62;6;2;1;2;6;2;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;20;57;6;10;1;10;6;2;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;2;28;6;1;1;1;6;10;11
1;Santo Domingo de los Tsáchilas;ABANDONO;11;29;6;2;1;2;6;2;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;26;52;6;1;1;1;6;2;11
1;Santo Domingo de los Tsáchilas;MUTUO ACUERDO;1;29;6;10;1;10;6;1;11
1;Guayas;ABANDONO;11;60;6;3;1;3;6;3;11
1;Guayas;ABANDONO;25;51;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;12;46;6;3;1;3;6;3;11
1;Guayas; DESCONOCIDO;8;49;6;3;1;3;6;3;11
1;Bolívar;MUTUO ACUERDO;21;63;6;4;1;4;7;4;11
1;Guayas;MUTUO ACUERDO;15;36;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;23;51;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;14;75;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;5;26;6;1;1;1;6;3;11
1;Guayas;MUTUO ACUERDO;4;31;6;10;1;10;6;3;11
1;Guayas;MUTUO ACUERDO;2;28;6;1;1;1;6;1;11
1;Guayas;MUTUO ACUERDO;13;39;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;23;57;7;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;9;39;6;3;1;3;6;3;11
1;Guayas;ABANDONO;6;43;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;9;50;6;3;1;3;6;10;11
1;Guayas;ABANDONO;19;38;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;14;36;6;3;1;3;6;3;11
1;Guayas;FALTA DE ARMONIA;31;57;6;3;1;3;6;3;11
1;Guayas;ABANDONO;21;47;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;19;47;6;3;1;3;6;3;11
1;Guayas;ABANDONO;7;28;6;1;1;1;6;3;11
1;Guayas;MUTUO ACUERDO;28;67;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;43;62;6;3;1;3;6;3;11
1;Guayas;ABANDONO;9;41;6;3;1;3;6;3;11
1;Guayas;ABANDONO;21;42;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;17;41;6;3;1;3;6;3;11
1;Guayas; DESCONOCIDO;19;57;6;3;1;3;6;3;11
1;Guayas;ABANDONO;17;52;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;15;50;6;3;1;3;6;3;11
1;Guayas;ABANDONO;10;37;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;20;44;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;21;43;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;12;37;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;2;39;6;3;1;3;9;0;11
1;Guayas;MUTUO ACUERDO;18;39;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;21;44;6;1;1;1;6;1;11
1;Guayas;ABANDONO;8;48;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;25;44;6;3;1;3;6;3;11
1;Guayas;ABANDONO;10;41;6;1;1;1;7;10;11
1;Guayas;ABANDONO;2;27;6;1;1;1;6;1;11
1;Guayas;ABANDONO;13;57;6;1;1;1;5;1;11
1;Guayas;ABANDONO;14;35;6;1;1;1;6;1;11
1;Guayas;ABANDONO;10;38;6;8;1;8;6;1;11
1;Guayas;MUTUO ACUERDO;17;35;6;1;1;1;6;1;11
1;Guayas;ABANDONO;15;34;6;1;1;1;6;1;11
1;Guayas;ABANDONO;26;57;6;1;1;1;6;1;11
1;Guayas;ABANDONO;6;49;6;1;1;1;6;1;11
1;Guayas;MUTUO ACUERDO;17;38;6;1;1;1;6;1;11
1;Guayas;MUTUO ACUERDO;29;52;6;1;1;1;6;1;11
1;Guayas;ABANDONO;8;36;6;1;1;1;6;1;11
1;Guayas;MUTUO ACUERDO;12;43;6;1;1;1;6;1;11
1;Guayas;FALTA DE ARMONIA;4;31;6;10;1;10;6;3;11
1;Guayas;ABANDONO;7;35;6;3;1;3;6;10;11
1;Guayas;MUTUO ACUERDO;2;29;6;10;1;10;6;10;11
1;Guayas;MUTUO ACUERDO;7;27;6;1;1;1;6;0;11
1;Guayas;MUTUO ACUERDO;5;27;6;1;1;1;6;1;11
1;Tungurahua;ABANDONO;37;61;6;10;1;10;6;10;11
1;Santo Domingo de los Tsáchilas;ABANDONO;5;39;6;2;1;2;6;4;11
